sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
45,45.289742886356784,0.9203565761984323,37.95893494391583,42.659499148651896,59.28196713190504,59.20458491374742
46,42.34507716186626,0.9217585771683671,41.32351215105866,39.421374924801206,56.298891070671864,56.13218328579474
47,39.47426566454695,0.9247401080636677,39.86216793422932,35.66666068018635,53.61878566050538,53.02013687442758
48,36.75020537159011,0.9293492232444565,31.841132488018687,34.61344272551044,49.6569840854578,49.58671778195857
49,34.24153727335497,0.9355719889624502,27.347555883709237,31.403389907971114,46.24405642359782,45.99087731140954
50,32.01010058715567,0.9433307482992414,32.69284517053628,28.63622490063644,42.11487166955996,42.12991431492113
51,30.108653004606083,0.9524855747784168,25.273248063362054,27.456919569027644,38.319688717926745,38.72420348283139
52,28.5789487524945,0.9628388652562481,26.026342897555917,27.780736476297353,34.31397067806332,35.32229628937527
53,27.45025168445632,0.9741428557639311,25.94460582997472,25.485352710962026,32.62842992500912,32.18827113686177
54,26.738342905770246,0.986109688373293,28.966640420057793,26.137578744502825,29.234520456317167,29.20746729904145
55,26.445062291085048,0.9984235212550832,21.215926343859635,25.55274495857993,26.444745906992512,26.8580071532884
56,26.55840150879123,1.0107540652037514,28.534378231066064,26.909423925446912,23.415669528825138,24.636603128952
57,27.05314370568085,1.0227708538722813,23.102173967941418,25.547070581301192,22.566669949298074,23.044623918776022
58,27.892022750277864,1.0341575158847671,32.72800066430965,28.226477736133376,21.521409803327117,21.845676035030017
59,29.027353793132136,1.0446253169745197,22.15487369932919,28.709458628628845,21.274624405437272,21.340369773954666
60,30.403067742123834,1.0539252793317608,34.612962118020555,30.726176869239396,20.450006488262485,21.042306397958846
61,31.95706585400962,1.0618582613363494,30.949282693543402,30.709015923016786,20.88913822344838,21.292555344602214
62,33.62379768048422,1.0682824897082521,33.18576517099419,32.18607561870549,21.07635306931899,21.77215777174362
63,35.33695660775672,1.073118171974812,32.64219593319658,33.78256115425946,22.77265453654394,22.628815647199495
64,37.032182560589085,1.076348972720273,29.540172177772703,35.82500178320753,23.6726365411443,23.977441979976014
65,38.64966129512136,1.0780203039823348,42.59538979579045,37.875323471199614,24.73329586554187,25.68977578994319
66,40.13651408471639,1.0782345494181924,41.161485838283745,38.51511629336284,27.632269887330978,27.022089386490272
67,41.44888032927599,1.0771435043802728,43.43737361095458,40.84153853179941,29.63802211915487,28.719443706660655
68,42.55360833286967,1.0749384610878412,35.84116004401271,39.949706236582514,29.43422251927936,30.121309069491257
69,43.42948567566399,1.0718384917597803,41.17228336995557,40.354581297582875,32.1594081419962,31.400347881737332
70,44.0679595907301,1.0680775762533405,38.13622831970596,41.19466076215628,31.74262267969489,32.275034662946794
71,44.47331876627076,1.0638912794199293,43.18586114328558,41.30290440598653,34.02746394856134,33.68489141196993
72,44.66233016819029,1.0595037039178514,47.63777093382159,41.326971309570695,34.01145602520221,34.23614901795049
73,44.66334690813813,1.0551154255462756,36.38237826316395,42.343760460044464,36.48350626439504,35.03466292466353
74,44.51492494916317,1.0508930613319674,41.29261788787641,42.57192011918367,34.91569617189897,35.42835033804843
